underlying,expiration,trade_date,implied_forward,bid_swap_rate,ask_swap_rate,mid_swap_rate
SPY,2017-09-15,2017-09-08,246.00099999904631,0.11401440358464014,0.11569928996134132,0.11485993627527341
SPY,2017-09-15,2017-09-11,248.59999999701978,0.11401440358464014,0.11569928996134132,0.11485993627527341
SPY,2017-09-15,2017-09-12,249.29400001466274,0.11401440358464014,0.11569928996134132,0.11485993627527341
SPY,2017-09-15,2017-09-13,249.3800000101328,0.11401440358464014,0.11569928996134132,0.11485993627527341
SPY,2017-09-15,2017-09-14,249.2859999962151,0.11401440358464014,0.11569928996134132,0.11485993627527341
SPY,2017-09-15,2017-09-15,249.22999572753906,0,0,0
SPY,2017-09-22,2017-09-15,249.29000001251697,0.06309719079019806,0.06450972660105242,0.06380736756737887
SPY,2017-09-22,2017-09-18,249.7330000013113,0.06309719079019806,0.06450972660105242,0.06380736756737887
SPY,2017-09-22,2017-09-19,249.93999999910594,0.06309719079019806,0.06450972660105242,0.06380736756737887
SPY,2017-09-22,2017-09-20,250.0399999946356,0.06309719079019806,0.06450972660105242,0.06380736756737887
SPY,2017-09-22,2017-09-21,249.51100000422448,0.06309719079019806,0.06450972660105242,0.06380736756737887
SPY,2017-09-22,2017-09-22,249.4499969482422,0,0,0
SPY,2017-09-29,2017-09-22,249.6040000155568,0.06617430681989463,0.06800009671622363,0.06709341262936817
SPY,2017-09-29,2017-09-25,249.1940000027418,0.06617430681989463,0.06800009671622363,0.06709341262936817
SPY,2017-09-29,2017-09-26,249.08399998545647,0.06617430681989463,0.06800009671622363,0.06709341262936817
SPY,2017-09-29,2017-09-27,249.98499999195337,0.06617430681989463,0.06800009671622363,0.06709341262936817
SPY,2017-09-29,2017-09-28,250.32999999579042,0.06617430681989463,0.06800009671622363,0.06709341262936817
SPY,2017-09-29,2017-09-29,251.16000366210938,0,0,0
SPY,2017-10-06,2017-09-29,251.35900001227856,0.06324469692459385,0.06481059033756996,0.06403243049029159
SPY,2017-10-06,2017-10-02,252.3520000040531,0.06324469692459385,0.06481059033756996,0.06403243049029159
SPY,2017-10-06,2017-10-03,252.87800000905992,0.06324469692459385,0.06481059033756996,0.06403243049029159
SPY,2017-10-06,2017-10-04,253.17800000756978,0.06324469692459385,0.06481059033756996,0.06403243049029159
SPY,2017-10-06,2017-10-05,254.71900000013412,0.06324469692459385,0.06481059033756996,0.06403243049029159
SPY,2017-10-06,2017-10-06,254.42999267578125,0,0,0
